Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,principal component 1,principal component 2,principal component 3,class,CoinName
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.1733234985456973,-1.1517169298072214,-0.03050669618962726,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.17367860780767447,-1.1517134886969382,-0.030498062970562106,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.36653690662091576,1.8630981116687784,-0.7155677197456891,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.17293724143511688,-1.1517219059004138,-0.030515957126928308,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.15384385142149565,-2.1500677873740286,0.2618603759003163,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.03598840820099184,0.7876445501652428,-0.28058701191316276,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.17355977620908938,-1.1517163732935132,-0.030500769894141466,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.26697595055730317,0.8444936102629684,-0.3896630323627429,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.2960338637877958,0.780327769608327,-0.2732316789486074,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.2690391896526816,1.7825049565869144,-0.6478023561655993,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.03835532124823492,-1.1587020071097804,-0.03319163136150888,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.1383481179323654,-1.3077221014060212,0.17162820534148723,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.16721841125194944,-1.1517734760142468,-0.030655394238421205,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.26966191312951826,1.7824874631736614,-0.6477847454862297,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.3371843571619041,0.5153356682201768,-0.3521391731223119,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.33319310524906265,1.0010586447317293,-0.5910654093998944,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.33729587396128063,1.001175036626731,-0.5909737149414203,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.01954223055043926,1.0112697564479671,-0.6010725360624254,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.1735392041102203,-1.1517237087587688,-0.030500520449732553,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.17163199909789628,-1.1518348739894182,-0.030537151789512943,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.17302552073388855,-1.1517310042801416,-0.030512765373293588,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.34295934163949493,0.9998179446939337,-0.16993406960751423,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.3861282541401919,1.2206705038063999,-0.48762836095004464,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.12548956502879724,-1.3079845993279566,0.17133007990701127,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.24835664986072256,0.12201311747784226,0.14930433583639358,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.13781143850542618,-1.3077257380676732,0.17161499361484936,3,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.310032380029555,1.6378971709196735,-0.21911564534469496,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.3860398240486715,1.2206657947100712,-0.4876301061776504,0,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.13809888637612822,-1.3077302073939818,0.1716227439340041,3,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.13808187067794267,-1.3077570664966625,0.17162513423411654,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.13867305134696875,-1.3077163018676643,0.17163582649623607,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.2209197812454168,-0.932242850728,0.07280959491471548,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.3141075462400267,1.0007459031095582,-0.5915159830225538,0,UnitaryStatus Dollar
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.337571756115634,1.0011658478099608,-0.590965761835882,0,UltraCoin
VIA,Scrypt,PoW,23150892.1679687,23000000.0,-0.1732554526296246,-1.1517171764684822,-0.03050839383681238,3,ViaCoin
VRC,Scrypt,PoST,32021108.4136696,0.0,-0.31908963171415383,0.3728410409238967,-0.2140918032611947,0,VeriCoin
VTC,Lyra2REv2,PoW,51173723.8166347,84000000.0,-0.18318663913290947,-1.2798412095255611,0.15809836473486064,3,Vertcoin
WDC,Scrypt,PoW,119606941.0,265420800.0,-0.1703562542596159,-1.1518101297258496,-0.03057206468808891,3,WorldCoin
XC,X11,PoW/PoS,6950831.0970606,5500000.0,-0.3860042692261855,1.2206700307970866,-0.4876314517181497,0,X11 Coin
XCR,Multiple,PoS,100000000.0,0.0,-0.24882474230035956,0.1220719076736023,0.14931001694137142,0,Crypti
XJO,SHA-256,PoW,39195739.362088,45000000.0,-0.13787878990322044,-1.3077261826838797,0.17161674628255705,3,JouleCoin
XST,X13,PoW/PoS,33093725.4123502,0.0,-0.2694425953336335,1.782493624201758,-0.6477909478144336,0,StealthCoin
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000.0,-0.3299915112479503,1.0007313326834435,-0.5911121225392546,0,ZCC Coin
BCN,CryptoNight,PoW,184066828814.0,184467440735.0,3.865816520390194,-2.347887516061988,0.2871407946820047,3,ByteCoin
XDN,CryptoNight,PoW,6906587610.38292,10000000000.0,0.4619502643316143,-2.3179967547925333,0.3702186613512163,3,DigitalNote 
BURST,Shabal256,PoC,1813033920.0,2158812800.0,0.07402641100625523,0.001635327211102221,-0.18856064830562033,0,BurstCoin
SJCX,Counterparty,PoS,51173144.0,500000000.0,-0.3267140313323844,1.5227364229151916,-0.06224696439561749,0,StorjCoin
MONA,Scrypt,PoW,68194674.8711679,105120000.0,-0.17212211172245945,-1.1517444158213193,-0.030534239350945035,3,MonaCoin
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0,-0.3029102556075182,0.8451755988757454,-0.38882447742141585,0,Neutron
FAIR,Groestl,PoW/PoS,53193831.0,0.0,-0.37912264898188597,1.0583930720876196,-0.38419822287754307,0,FairCoin
NLG,Scrypt,PoW,415032420.0,1680000000.0,-0.15670846089099183,-1.152444383568345,-0.030851131581839542,3,Gulden
RBY,Scrypt,PoS,27184490.3918338,0.0,-0.29601410153903046,0.7803399646162679,-0.27323346048378183,0,RubyCoin
PTC,Scrypt,PoW,137517654.41397,166386000.0,-0.17083985991487752,-1.1517524696864296,-0.030565871931647913,3,PesetaCoin
KORE,X13,PoW/PoS,2022464.886973,12000000.0,-0.26973736619687666,1.7824767107927266,-0.6477817048750144,0,Kore
WBB,Scrypt,PoW,181919.2435974,2628000.0,-0.17368081946913172,-1.1517144702164248,-0.030497903851295066,3,Wild Beast Coin
NOTE,Scrypt,PoS,174646113.934655,500000000.0,-0.29066388133150095,0.7801305631086332,-0.27334698225248405,0,Dnotes
FLO,Scrypt,PoW,152270664.860648,160000000.0,-0.17070478193307442,-1.1517440810327086,-0.03057017451395392,3,Flo
8BIT,Scrypt,PoW/PoS,1467841.0,0.0,-0.3388774736467221,1.0012011076227805,-0.5909363926133591,0,8BIT Coin
STV,X13,PoW/PoS,7096834.0,10000000.0,-0.2696895114454695,1.7824794939130015,-0.6477832093438303,0,Sativa Coin
ABY,Scrypt,PoW,792537250.0,1000000000.0,-0.15691698547044458,-1.151961051113738,-0.030896619325337556,3,ArtByte
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0,-0.12650478068835969,-2.264918381235746,0.41803679917594394,3,Folding Coin
U,X11,PoS,2689812.0,20000000.0,-0.3434045606432672,0.9997910497484842,-0.16991996745280769,0,Ucoin
UIS,Multiple,PoW,65113302.0,0.0,-0.126606502650424,-1.8099838683293137,0.3920486283971887,3,Unitus
CYP,QuBit,PoW,6365285.0,0.0,-0.17974326919012687,-1.5680128128668507,0.20539712960329337,3,CypherPunkCoin
OMC,Scrypt,PoW,10140044.4430293,3371337.0,-0.1735537891905597,-1.151711436464068,-0.0305014401087408,3,OmniCron
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0,-0.33861164227301066,1.0011941873507766,-0.5909423990312038,0,Vtorrent
GRE,Scrypt,PoW,4610340640.89,10000000000.0,-0.04638712891294198,-1.1553306475462282,-0.033342320768973574,3,GreenCoin
XCN,M7 POW,PoW,708506520.0,1840000000.0,-0.11824978613540484,-2.2535571559599292,0.37573212431991765,3,Cryptonite
MSC,Scrypt,PoW,619478.0,619478.0,-0.1736897188576554,-1.1517132752904704,-0.030497803951589023,3,MasterCoin
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.13837591914658284,-1.3077228823917193,0.1716289915624791,3,SoonCoin
1CR,Scrypt,PoW,88213.0,92000000000.0,0.4789889733017072,-1.1995624885204401,-0.04200360009459687,3,1Credit
ISL,X11,PoW/PoS,1513704.0,0.0,-0.3861097677624803,1.2206710238411225,-0.4876288838221368,0,IslaCoin
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.3047105251876854,1.8366632974093373,-0.6499374405090945,0,Nexus
MARS,X11,PoW,32221574.820996,33000000.0,-0.22030645692190898,-0.9322493614703562,0.07279474372028583,3,MarsCoin 
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.13962646426059552,-2.2523437550178413,0.3904964779233851,3,Crypto
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.13811557163509272,-1.3077391362269575,0.17162410445016293,3,Anarchists Prime
